"","part_id","task","domain","type","modality","mean_rt","upper_bound","lower_bound","rt_slope"
"55","blast_a_001","ssl","auditory","structured","linguistic",0.769,0.613659691423,0.93840145576,-6e-04
"56","blast_a_002","ssl","auditory","structured","linguistic",0.544,0.383597555568,0.797018233058,0.002
"57","blast_a_004","ssl","auditory","structured","linguistic",0.737,0.622023374261,0.880404420294,-6e-04
"58","blast_a_005","ssl","auditory","structured","linguistic",0.642,0.5055996938722,0.830323291081,-1e-04
"59","blast_a_006","ssl","auditory","structured","linguistic",0.628,0.108894606017,0.905180019758,-0.0019
"60","blast_a_007","ssl","auditory","structured","linguistic",0.63,0.48869982583117,0.838683772068,-7e-04
"61","blast_a_008","ssl","auditory","structured","linguistic",0.592,0.350293525202,0.913662647614,0.0034
"62","blast_a_010","ssl","auditory","structured","linguistic",0.683,0.5553448054998,0.913714653125,0.0011
"63","blast_a_011","ssl","auditory","structured","linguistic",0.567,0.0420943546824,0.913700282807,0.0104
"64","blast_a_012","ssl","auditory","structured","linguistic",0.674,0.5301423682608,0.930488075759,-4e-04
"65","blast_a_021","ssl","auditory","structured","linguistic",0.617,0.440141485517,0.850263406943,6e-04
"66","blast_a_013","ssl","auditory","structured","linguistic",0.674,0.4970942487021,0.913738743843,-0.0012
"67","blast_a_017","ssl","auditory","structured","linguistic",0.78,0.655341037164,0.930359975119,0.0013
"68","blast_a_018","ssl","auditory","structured","linguistic",0.689,0.5553847638262,0.913718798566,0.0026
"69","blast_a_020","ssl","auditory","structured","linguistic",0.66,0.480388412337998,0.921999280658,-2e-04
"70","blast_a_022","ssl","auditory","structured","linguistic",0.486,0.12255191803,0.92114613533,5e-04
"71","blast_a_023","ssl","auditory","structured","linguistic",0.407,0.0903215104827,0.870147505755,0.0116
"72","blast_a_025","ssl","auditory","structured","linguistic",0.644,0.449986779308,0.880191576859,-0.0021
"73","blast_a_001","LSL","visual","random","linguistic",0.483,0.390164380007,0.589874428062,3e-04
"74","blast_a_002","LSL","visual","random","linguistic",0.463,0.390164380007,0.589874428062,2e-04
"75","blast_a_004","LSL","visual","random","linguistic",0.471,0.390164380007,0.589874428062,-4e-04
"76","blast_a_005","LSL","visual","random","linguistic",0.488,0.390164380007,0.589874428062,1e-04
"77","blast_a_006","LSL","visual","random","linguistic",0.426,0.390164380007,0.589874428062,-1e-04
"78","blast_a_007","LSL","visual","random","linguistic",0.461,0.390164380007,0.589874428062,0
"79","blast_a_008","LSL","visual","random","linguistic",0.445,0.390164380007,0.589874428062,3e-04
"80","blast_a_010","LSL","visual","random","linguistic",0.479,0.390164380007,0.589874428062,0
"81","blast_a_011","LSL","visual","random","linguistic",0.445,0.390164380007,0.589874428062,-3e-04
"82","blast_a_021","LSL","visual","random","linguistic",0.425,0.390164380007,0.589874428062,0
"83","blast_a_012","LSL","visual","random","linguistic",0.543,0.390164380007,0.589874428062,-6e-04
"84","blast_a_013","LSL","visual","random","linguistic",0.499,0.390164380007,0.589874428062,4e-04
"85","blast_a_014","LSL","visual","random","linguistic",0.442,0.390164380007,0.589874428062,-1e-04
"86","blast_a_015","LSL","visual","random","linguistic",0.482,0.390164380007,0.589874428062,-4e-04
"87","blast_a_017","LSL","visual","random","linguistic",0.661,0.390164380007,0.589874428062,-2e-04
"88","blast_a_018","LSL","visual","random","linguistic",0.405,0.390164380007,0.589874428062,0
"89","blast_a_020","LSL","visual","random","linguistic",0.507,0.390164380007,0.589874428062,-2e-04
"90","blast_a_023","LSL","visual","random","linguistic",0.472,0.390164380007,0.589874428062,-5e-04
"91","blast_a_025","LSL","visual","random","linguistic",0.543,0.390164380007,0.589874428062,0
"92","blast_a_001","VSL","visual","random","non-linguistic",0.466,0.317052791836,0.841934893163,4e-04
"93","blast_a_002","VSL","visual","random","non-linguistic",0.42,0.242139025841,0.592040240172,-2e-04
"94","blast_a_004","VSL","visual","random","non-linguistic",0.421,0.342062379264,0.541977799995,3e-04
"95","blast_a_005","VSL","visual","random","non-linguistic",0.497,0.358678193574,0.76694096181,1e-04
"96","blast_a_006","VSL","visual","random","non-linguistic",0.454,0.367001756471,0.87527580858,-5e-04
"97","blast_a_007","VSL","visual","random","non-linguistic",0.454,0.350352649036,0.775266611539,2e-04
"98","blast_a_008","VSL","visual","random","non-linguistic",0.436,0.342085576824,0.566901902885,2e-04
"99","blast_a_010","VSL","visual","random","non-linguistic",0.511,0.342061179778,0.875298902601,1e-04
"100","blast_a_011","VSL","visual","random","non-linguistic",0.433,0.358703649567,0.583652080658,3e-04
"101","blast_a_021","VSL","visual","random","non-linguistic",0.465,0.341991725902,0.750092482915,1e-04
"102","blast_a_012","VSL","visual","random","non-linguistic",0.575,0.450149348104,0.739983617899,6e-04
"103","blast_a_013","VSL","visual","random","non-linguistic",0.487,0.0836946471391,0.916926155682,0
"104","blast_a_014","VSL","visual","random","non-linguistic",0.52,0.367065531933,0.8083952215,-1e-04
"105","blast_a_015","VSL","visual","random","non-linguistic",0.466,0.400321071444,0.550355867868,1e-04
"106","blast_a_017","VSL","visual","random","non-linguistic",0.664,0.541913749675,0.80023279828,-1e-04
"107","blast_a_018","VSL","visual","random","non-linguistic",0.441,0.342012288629,0.633634219295,-1e-04
"108","blast_a_020","VSL","visual","random","non-linguistic",0.526,0.375372194276,0.891958140153,0
"109","blast_a_023","VSL","visual","random","non-linguistic",0.541,0.370190748269,0.909710514928,2e-04
"110","blast_a_025","VSL","visual","random","non-linguistic",0.548,0.420155642854,0.849960337924,-1e-04
"111","blast_a_001","LSL","visual","structured","linguistic",0.39,0.292111566675,0.525245877139,2e-04
"112","blast_a_002","LSL","visual","structured","linguistic",0.253,0.000459028993646,0.88370594882,-5e-04
"113","blast_a_004","LSL","visual","structured","linguistic",0.457,0.325468419292,0.908605940667,1e-04
"114","blast_a_005","LSL","visual","structured","linguistic",0.295,0.208787161642,0.483634261462,-2e-04
"115","blast_a_006","LSL","visual","structured","linguistic",0.439,0.383707113665,0.642013396476,0
"116","blast_a_007","LSL","visual","structured","linguistic",0.413,0.308700729111,0.525289809432,2e-04
"117","blast_a_008","LSL","visual","structured","linguistic",0.234,0.00851547443017,0.975287058533,-5e-04
"118","blast_a_010","LSL","visual","structured","linguistic",0.454,0.341797997681,0.758627527944,5e-04
